crime_id,location,date,time,crime_type,gender,role,age,weather,severity,latitude,longitude
CR00025,Kimisagara,2021-12-13,05:05,Robbery,Other,Suspect,62,Clear,5.47,-1.9812036943633486,30.04020751058166
CR00026,Kigarama,2022-04-16,13:46,Burglary,Female,Suspect,64,Cloudy,5.8,-1.973263584774287,30.086875831347843
CR00027,Nduba,2021-11-13,18:15,Robbery,Female,Suspect,77,Cloudy,5.35,-1.9125543450469122,30.076448825025597
CR00028,Masaka,2021-10-19,06:50,Theft,Male,Victim,54,Clear,3.78,-1.9644417968603514,30.147291858609332
CR00029,Rwezamenyo,2023-10-04,18:31,Burglary,Other,Suspect,24,Clear,5.51,-1.9602321843652017,30.038139765527315
CR00030,Jali,2020-08-02,12:15,Vandalism,Female,Victim,67,Clear,1.84,-1.9093230042871279,30.09901821225559
CR00031,Gisozi,2024-10-22,05:22,Robbery,Other,Victim,19,Clear,5.13,-1.9289742343269867,30.067849261252768
CR00032,Gacuriro,2020-11-25,15:05,Burglary,Male,Suspect,30,Rainy,5.22,-1.913410558408665,30.08872625699035
CR00033,Kigarama,2021-11-06,12:50,Vandalism,Female,Suspect,64,Cloudy,1.23,-1.9676134179680014,30.09692169249341
CR00034,Gikondo,2022-04-23,21:02,Theft,Female,Victim,35,Clear,3.69,-1.9738420339586211,30.069819993286046
CR00035,Jali,2023-11-21,20:22,Robbery,Other,Suspect,39,Clear,5.15,-1.9015718447453533,30.08386742595562
CR00036,Rusororo,2022-10-11,13:06,Assault,Female,Victim,70,Rainy,7.53,-1.907305750439067,30.130686580531357
CR00037,Kibagabaga,2021-08-13,04:34,Theft,Female,Victim,47,Rainy,3.21,-1.9200423737312884,30.085410632763253
CR00038,Gikondo,2023-09-18,11:44,Theft,Other,Suspect,59,Rainy,3.68,-1.971995846243633,30.081267146877803
CR00039,Kacyiru,2022-03-31,03:49,Theft,Male,Suspect,80,Clear,3.85,-1.9237370235386484,30.057524357429212
CR00040,Kimironko,2024-07-24,03:12,Theft,Female,Victim,77,Clear,2.64,-1.9288744874056063,30.12285277000091
CR00041,Niboye,2024-04-06,08:52,Vandalism,Male,Victim,62,Clear,2.4,-1.9906631753523978,30.09546942843884
CR00042,Kacyiru,2023-01-31,18:12,Assault,Other,Victim,22,Rainy,6.76,-1.9382767854702405,30.06679309969931
CR00043,Gatenga,2020-03-16,08:07,Robbery,Other,Suspect,64,Rainy,6.98,-1.9925650006176518,30.13388682211523
CR00044,Gatenga,2022-07-20,09:24,Theft,Male,Victim,69,Clear,3.15,-1.976815573362021,30.118036924035227
CR00045,Muhima,2020-06-29,07:59,Robbery,Female,Suspect,46,Clear,5.4,-1.9538710864791908,30.060867627105477
CR00046,Jali,2021-10-06,08:27,Burglary,Female,Suspect,46,Cloudy,4.5,-1.8984806959786267,30.093444761376897
CR00047,Remera,2021-05-31,07:05,Theft,Other,Victim,76,Clear,2.88,-1.9453006304605371,30.108211691905183
CR00048,Masaka,2021-10-24,11:45,Theft,Other,Victim,19,Rainy,2.57,-1.964013330389027,30.132215380733722
CR00049,Kimisagara,2020-08-25,07:02,Robbery,Female,Suspect,61,Rainy,5.4,-1.9673180717760936,30.034345840263462
CR00050,Kacyiru,2024-05-01,05:50,Assault,Male,Suspect,18,Clear,6.32,-1.936948504608367,30.058223211813605
CR00051,Niboye,2022-04-07,06:32,Burglary,Other,Suspect,33,Cloudy,5.63,-1.9925357044337777,30.09505224421198
CR00052,Kimironko,2024-11-06,05:38,Assault,Female,Victim,48,Rainy,7.62,-1.9282424347873692,30.117570914715294
CR00053,Kimisagara,2022-11-19,05:49,Robbery,Female,Victim,73,Cloudy,5.38,-1.9704288831649492,30.041422186647683
CR00054,Kicukiro,2024-08-16,21:02,Vandalism,Female,Victim,33,Rainy,2.16,-1.9759965340435313,30.115208428686596
CR00055,Kigali CBD,2020-01-03,21:23,Theft,Male,Suspect,47,Cloudy,3.26,-1.9425846865580991,30.053976444307303
CR00056,Muhima,2023-09-08,16:25,Vandalism,Female,Suspect,46,Cloudy,2.34,-1.9454513457366374,30.05449728985746
CR00057,Gatenga,2024-11-15,19:01,Robbery,Other,Victim,35,Rainy,5.41,-1.9777365401782463,30.12985823461563
CR00058,Rwezamenyo,2023-01-16,07:35,Robbery,Male,Suspect,16,Rainy,6.62,-1.9539826895107497,30.03108734860326
CR00059,Kibagabaga,2022-08-04,08:39,Robbery,Other,Suspect,29,Clear,6.79,-1.9228607848423935,30.085408054661787
CR00060,Kimironko,2022-04-26,02:54,Robbery,Male,Victim,26,Clear,5.72,-1.9265802803000966,30.12457985919032
CR00061,Remera,2020-04-21,09:05,Theft,Female,Victim,64,Stormy,2.82,-1.938518551041281,30.111210123288632
CR00062,Nyarugenge,2021-01-19,20:35,Vandalism,Female,Suspect,65,Rainy,2.09,-1.9509203611943888,30.04682754380632
CR00063,Nduba,2022-11-27,19:59,Burglary,Male,Suspect,25,Stormy,4.14,-1.911984997452337,30.06544205575429
CR00064,Kicukiro,2022-01-10,13:07,Theft,Female,Suspect,39,Clear,2.37,-1.9814288965815268,30.121759188151504
CR00065,Kimironko,2023-06-29,01:35,Robbery,Other,Victim,69,Clear,6.46,-1.924755912994387,30.112630034213954
CR00066,Nduba,2024-03-29,04:56,Robbery,Female,Suspect,36,Rainy,6.82,-1.9015529280453052,30.077822334953463
CR00067,Kacyiru,2022-10-17,21:46,Theft,Male,Victim,69,Clear,3.28,-1.9242680950765534,30.054256751451927
CR00068,Niboye,2023-07-04,21:04,Vandalism,Other,Victim,47,Clear,1.99,-1.9806952877793265,30.102330513689804
CR00069,Jali,2022-06-24,08:43,Vandalism,Other,Suspect,53,Rainy,2.66,-1.8911430733615031,30.091699571485588
CR00070,Masaka,2024-04-05,13:11,Assault,Male,Victim,79,Rainy,7.14,-1.9680307571364204,30.149524846450948
CR00071,Kigali CBD,2020-04-15,18:33,Assault,Other,Suspect,63,Cloudy,6.95,-1.9425514449524897,30.061828738460765
CR00072,Gatenga,2021-02-20,08:45,Assault,Other,Suspect,54,Cloudy,6.7,-1.9779629981607871,30.13088911227693
CR00073,Gacuriro,2021-06-30,20:16,Robbery,Male,Victim,67,Clear,6.24,-1.9234021834636619,30.088169190658792
CR00074,Gatenga,2023-01-29,01:19,Theft,Other,Victim,26,Clear,3.12,-1.9863370577113972,30.119492668289368
CR00075,Gatenga,2020-09-25,12:37,Theft,Female,Suspect,28,Rainy,2.28,-1.97380173402223,30.117061003310766
CR00076,Kibagabaga,2021-08-12,13:57,Assault,Female,Suspect,59,Cloudy,6.13,-1.9135934974416497,30.103952106137836
CR00077,Nyarugenge,2022-06-16,18:01,Vandalism,Male,Victim,33,Clear,1.86,-1.9638145292113924,30.052066321366986
CR00078,Jali,2024-12-08,00:13,Assault,Other,Victim,49,Cloudy,6.75,-1.8946835377601592,30.091980939636393
CR00079,Nyarugenge,2023-12-01,04:56,Theft,Other,Victim,41,Rainy,2.14,-1.95397020752041,30.047250987625315
CR00080,Kigali CBD,2022-09-19,23:30,Robbery,Female,Suspect,65,Clear,5.16,-1.9528257296091327,30.065387225754552
CR00081,Kimironko,2020-09-05,11:44,Assault,Female,Victim,54,Clear,7.56,-1.9316931583791095,30.118298212214487
CR00082,Muhima,2020-02-29,07:13,Burglary,Male,Suspect,15,Clear,4.6,-1.9629831358107017,30.068734182343125
CR00083,Kigali CBD,2023-07-14,20:20,Burglary,Female,Victim,36,Rainy,4.24,-1.9590501798092712,30.067264888380837
CR00084,Gacuriro,2023-05-31,19:32,Vandalism,Male,Suspect,77,Cloudy,1.46,-1.9083409051936762,30.081433482357358
CR00085,Kimisagara,2024-06-24,06:17,Theft,Other,Victim,15,Clear,3.2,-1.9779743533272256,30.044761198148905
CR00086,Nduba,2021-05-05,03:24,Robbery,Female,Suspect,27,Clear,5.66,-1.918392494591386,30.077303344871098
CR00087,Gacuriro,2023-12-24,19:59,Burglary,Other,Suspect,23,Rainy,4.45,-1.9212763283464667,30.078604071295608
CR00088,Masaka,2020-11-20,19:31,Assault,Female,Suspect,68,Clear,7.88,-1.9679335603659527,30.146481047352022
CR00089,Niboye,2021-09-28,09:05,Robbery,Female,Suspect,68,Rainy,6.84,-1.9981966621094742,30.098517312721125
CR00090,Jali,2023-02-02,03:22,Theft,Other,Suspect,51,Rainy,2.5,-1.9051053495475443,30.085033416098394
CR00091,Kigali CBD,2020-01-29,14:53,Assault,Other,Suspect,70,Clear,7.41,-1.9483057284719723,30.058156471033218
CR00092,Kimisagara,2023-02-05,15:54,Robbery,Female,Suspect,36,Rainy,5.14,-1.96708663207656,30.040392907182422
CR00093,Nduba,2022-04-15,20:48,Theft,Male,Suspect,37,Rainy,3.74,-1.9125148437909862,30.076725924946555
CR00094,Nyarugenge,2020-07-09,03:35,Robbery,Female,Suspect,62,Clear,6.94,-1.9604531182111309,30.059661732220153
CR00095,Gikondo,2021-04-05,01:32,Burglary,Female,Victim,38,Clear,4.15,-1.9671057627350221,30.063661867203255
CR00096,Remera,2024-09-19,14:07,Burglary,Female,Victim,32,Stormy,5.15,-1.9445839861110108,30.095022619651722
CR00097,Nduba,2020-08-20,20:21,Theft,Other,Victim,40,Rainy,3.71,-1.9062642712303925,30.076119829786652
CR00098,Remera,2022-08-03,13:25,Burglary,Other,Suspect,77,Rainy,5.86,-1.9400244050305349,30.097854884383946
CR00099,Gikondo,2020-08-28,04:21,Theft,Female,Suspect,38,Rainy,3.0,-1.955743339080765,30.07189952165207
CR00100,Niboye,2023-08-19,15:32,Vandalism,Other,Victim,79,Clear,1.8,-1.986631262991385,30.10482168877628
CR00101,Jali,2024-08-31,01:39,Burglary,Other,Victim,29,Clear,4.11,-1.893373060157376,30.093312569747233
CR00102,Kimironko,2020-11-11,16:32,Robbery,Male,Victim,72,Cloudy,6.4,-1.9208755179877963,30.10707930907567
CR00103,Kibagabaga,2022-10-17,04:52,Robbery,Male,Suspect,42,Clear,5.22,-1.917738876533963,30.099618438545804
CR00104,Rwezamenyo,2024-01-07,00:26,Theft,Other,Suspect,38,Clear,2.94,-1.9700835027415196,30.036170581771113
CR00105,Gikondo,2021-08-20,17:38,Vandalism,Other,Victim,40,Clear,2.83,-1.9714299521269862,30.073213415206467
CR00106,Kibagabaga,2022-11-08,17:46,Assault,Other,Victim,22,Clear,6.53,-1.9177391140557436,30.10074824052537
CR00107,Kigali CBD,2023-12-15,15:46,Robbery,Male,Suspect,38,Clear,5.06,-1.959329474627989,30.055516446800027
CR00108,Kanombe,2021-07-13,04:36,Vandalism,Other,Victim,39,Rainy,1.68,-1.9645347912122142,30.135379335711956
CR00109,Niboye,2022-04-30,06:26,Robbery,Female,Suspect,48,Rainy,5.52,-1.9820395741934784,30.111504861841734
CR00110,Kigali CBD,2024-09-05,09:49,Theft,Male,Victim,67,Stormy,2.67,-1.9456041784771159,30.055651744491175
CR00111,Masaka,2022-09-15,04:08,Theft,Other,Victim,71,Rainy,3.53,-1.95739255784859,30.144033246175617
CR00112,Rusororo,2022-08-25,20:30,Assault,Other,Suspect,28,Clear,6.28,-1.90550815120385,30.12580686069104
CR00113,Jali,2021-05-14,09:34,Theft,Female,Suspect,36,Clear,3.09,-1.9021229927936023,30.09587199935953
CR00114,Rusororo,2022-07-24,23:46,Assault,Female,Victim,25,Rainy,7.47,-1.912566864081194,30.133081429555798
CR00115,Nduba,2023-02-02,17:12,Theft,Other,Victim,52,Clear,3.85,-1.9102338134244268,30.07151251049264
CR00116,Kimisagara,2020-10-23,01:19,Robbery,Other,Victim,25,Cloudy,6.33,-1.9691914176389238,30.03434946727257
CR00117,Kimisagara,2022-02-24,23:20,Theft,Other,Suspect,63,Clear,3.76,-1.9722714208920453,30.047280613487754
CR00118,Jali,2021-01-25,03:07,Burglary,Female,Suspect,30,Rainy,4.47,-1.9055661191216724,30.087214016553776
CR00119,Rwezamenyo,2023-05-12,21:25,Vandalism,Other,Suspect,50,Clear,1.15,-1.959829553309357,30.03545218788226
CR00120,Kigarama,2022-11-06,02:45,Robbery,Other,Suspect,23,Rainy,6.9,-1.9696431214757029,30.102075792134375
CR00121,Rwezamenyo,2024-03-08,00:30,Vandalism,Other,Suspect,58,Cloudy,2.81,-1.96461734867658,30.030436586531295
CR00122,Niboye,2024-12-05,20:44,Burglary,Male,Suspect,18,Clear,5.41,-1.9932029809800602,30.10087490199779
CR00123,Gatenga,2020-10-06,22:15,Vandalism,Other,Victim,45,Clear,2.53,-1.9765352371630682,30.129886195516566
CR00124,Nduba,2024-11-04,01:14,Burglary,Male,Victim,76,Clear,4.07,-1.9077886695267006,30.066946089066132
CR00125,Rusororo,2020-05-22,20:06,Theft,Female,Victim,77,Cloudy,3.96,-1.8989663107993928,30.129762727028165
CR00126,Nyamirambo,2021-07-19,22:10,Theft,Female,Suspect,27,Clear,3.9,-1.9767082799855964,30.059044660666697
CR00127,Kanombe,2024-05-01,15:48,Burglary,Male,Victim,16,Rainy,5.2,-1.9670884546294698,30.136466898450767
CR00128,Kimironko,2024-06-05,02:49,Robbery,Male,Suspect,22,Cloudy,6.22,-1.9322384019941168,30.11545530781705
CR00129,Remera,2024-10-15,16:46,Theft,Male,Suspect,49,Cloudy,2.16,-1.9502405890160428,30.11180394002776
CR00130,Kacyiru,2022-04-29,19:02,Robbery,Other,Victim,15,Rainy,6.1,-1.9377753531184885,30.068263213426654
CR00131,Rusororo,2021-11-27,23:59,Vandalism,Other,Victim,20,Rainy,2.89,-1.9052919874350949,30.126562366983947
CR00132,Kigali CBD,2024-06-01,12:06,Theft,Female,Suspect,27,Clear,2.54,-1.9552082668864628,30.06355261543867
CR00133,Gacuriro,2022-11-05,15:31,Burglary,Female,Victim,42,Stormy,4.08,-1.912919101300854,30.086381367312086
CR00134,Nyarugenge,2021-07-01,01:07,Burglary,Female,Victim,15,Rainy,4.07,-1.9614857736005264,30.04051281142474
CR00135,Kigarama,2024-08-07,17:45,Theft,Female,Suspect,63,Rainy,3.02,-1.9793007175160808,30.095338599947205
CR00136,Muhima,2020-01-06,20:36,Burglary,Male,Victim,49,Rainy,5.3,-1.9552636896855724,30.05248288846471
CR00137,Kimironko,2021-08-02,22:57,Theft,Other,Victim,77,Cloudy,2.86,-1.9185744997142775,30.123918995161198
CR00138,Niboye,2024-01-26,03:42,Assault,Male,Suspect,75,Clear,6.61,-1.9993034667877825,30.094976084007662
CR00139,Niboye,2021-09-03,07:15,Theft,Female,Suspect,58,Rainy,3.7,-1.9808297450907504,30.111413393856907
CR00140,Muhima,2024-09-11,08:17,Robbery,Female,Suspect,69,Clear,6.94,-1.9545652622015004,30.068037904922424
CR00141,Masaka,2023-04-17,16:16,Vandalism,Female,Suspect,58,Clear,1.04,-1.9687291424575126,30.14658114735136
CR00142,Nyamirambo,2023-04-02,05:07,Burglary,Other,Suspect,62,Cloudy,4.11,-1.981353204471268,30.058988601668318
CR00143,Jali,2023-09-13,13:59,Vandalism,Male,Suspect,58,Clear,2.55,-1.8933153500994397,30.08507028450945
CR00144,Kimisagara,2022-09-29,17:18,Theft,Female,Suspect,55,Cloudy,3.62,-1.9747015459528223,30.048367368650887
CR00145,Gisozi,2024-11-07,19:30,Theft,Other,Victim,45,Rainy,3.07,-1.9413471905669144,30.069880994491633
CR00146,Nyarugenge,2020-10-31,09:44,Theft,Other,Victim,61,Clear,3.72,-1.9562786876063538,30.059471591258884
CR00147,Kacyiru,2022-07-03,23:48,Robbery,Male,Suspect,66,Clear,6.36,-1.9399718980705933,30.05697402165482
CR00148,Nyarugenge,2023-01-08,16:33,Vandalism,Female,Suspect,63,Rainy,2.48,-1.9527506704025754,30.048920139787153
CR00149,Kimisagara,2022-09-18,05:53,Vandalism,Male,Suspect,22,Clear,2.1,-1.9679289948631948,30.03295598225661
CR00150,Jali,2021-12-07,13:10,Burglary,Male,Victim,60,Clear,4.1,-1.9097555102168196,30.089164091452822
CR00151,Kigali CBD,2021-11-11,15:45,Theft,Male,Suspect,57,Rainy,3.53,-1.9556194844352097,30.067819513802945
CR00152,Gikondo,2023-02-04,09:03,Burglary,Male,Victim,27,Clear,5.39,-1.9625063558061464,30.067263473953098
CR00153,Kacyiru,2024-04-11,07:03,Robbery,Male,Suspect,15,Cloudy,5.86,-1.93432019429113,30.067872820490688
CR00154,Kicukiro,2023-01-17,20:25,Assault,Male,Suspect,73,Clear,6.85,-1.9729061586839574,30.10618762036539
CR00155,Kigarama,2022-02-11,17:02,Robbery,Female,Victim,66,Cloudy,5.28,-1.975277212313739,30.09941617808692
CR00156,Gacuriro,2022-07-21,17:03,Assault,Female,Suspect,32,Rainy,6.88,-1.9068015789583035,30.083945554323236
CR00157,Masaka,2021-10-21,09:49,Theft,Female,Suspect,18,Stormy,3.79,-1.963965932187072,30.13843762301515
CR00158,Gisozi,2024-11-15,23:23,Vandalism,Other,Victim,30,Rainy,2.97,-1.9275728067972495,30.071026417457063
CR00159,Jali,2021-01-21,03:42,Vandalism,Female,Suspect,50,Clear,1.74,-1.9039409097395865,30.086970782843377
CR00160,Nyamirambo,2023-11-29,04:34,Burglary,Female,Suspect,46,Clear,4.39,-1.989827019014647,30.05830938905061
CR00161,Gacuriro,2021-05-04,23:53,Assault,Other,Victim,62,Clear,6.87,-1.9133176564103427,30.089894396916005
CR00162,Nyamirambo,2023-03-17,14:34,Burglary,Male,Victim,72,Cloudy,4.12,-1.9829272790540569,30.05913292719258
CR00163,Kacyiru,2022-02-23,03:22,Theft,Male,Victim,75,Clear,2.46,-1.9259516320961398,30.058675265334816
CR00164,Kigali CBD,2021-04-23,23:02,Vandalism,Male,Suspect,80,Clear,2.18,-1.9529946011748818,30.060328054538108
CR00165,Kicukiro,2024-10-19,05:04,Burglary,Female,Victim,67,Clear,4.45,-1.9745434936909372,30.116797186524444
CR00166,Kigali CBD,2024-05-07,12:45,Assault,Male,Victim,39,Clear,7.49,-1.9525290542972051,30.064724712992593
CR00167,Nyamirambo,2022-04-21,07:14,Theft,Male,Victim,15,Clear,3.78,-1.9882987298303592,30.04655141847082
CR00168,Muhima,2020-03-30,12:18,Theft,Female,Victim,56,Rainy,3.59,-1.9522995166820631,30.068573662207402
CR00169,Kibagabaga,2021-10-13,16:49,Assault,Female,Victim,17,Clear,7.14,-1.9257027642560494,30.086025963353244
CR00170,Rusororo,2024-03-05,20:42,Burglary,Other,Suspect,61,Clear,5.98,-1.898290105524832,30.128438813342218
CR00171,Gatenga,2022-08-26,04:35,Robbery,Other,Victim,20,Clear,5.03,-1.9733853098416232,30.12778903475494
CR00172,Gacuriro,2023-12-15,13:35,Burglary,Male,Victim,56,Cloudy,5.44,-1.9153657674253566,30.0792584869
CR00173,Kimisagara,2024-07-19,14:50,Assault,Other,Victim,71,Rainy,7.63,-1.9763305635347495,30.041943853861017
CR00174,Nyamirambo,2022-02-19,08:19,Vandalism,Male,Victim,44,Clear,1.15,-1.981505621808766,30.0457238429124
CR00175,Gisozi,2022-03-01,03:14,Burglary,Other,Suspect,77,Clear,4.25,-1.9399922555972702,30.070653927684152
CR00176,Muhima,2023-09-21,21:35,Robbery,Female,Victim,66,Rainy,5.36,-1.9562576862054764,30.057293607839345
CR00177,Gikondo,2024-06-10,03:15,Burglary,Male,Victim,25,Clear,4.09,-1.9553164584774427,30.076147921723937
CR00178,Kanombe,2024-08-07,02:28,Vandalism,Male,Suspect,59,Cloudy,1.7,-1.9681969396385794,30.132011878093632
CR00179,Gisozi,2023-08-28,23:03,Theft,Male,Victim,69,Clear,3.31,-1.93904773901181,30.079117949998047
CR00180,Kacyiru,2020-11-07,17:55,Burglary,Female,Suspect,75,Cloudy,4.49,-1.9257432978131592,30.06991560461543
CR00181,Gatenga,2022-10-11,16:13,Theft,Other,Suspect,27,Cloudy,2.58,-1.9784474246692352,30.130095416927222
CR00182,Kicukiro,2020-03-16,20:00,Vandalism,Female,Victim,64,Clear,2.21,-1.9729002127595412,30.12118616669901
CR00183,Nduba,2020-09-15,18:48,Robbery,Male,Suspect,52,Clear,5.96,-1.9190291280351932,30.066455195548524
CR00184,Remera,2022-10-25,22:25,Burglary,Female,Victim,39,Cloudy,4.24,-1.9483657208919756,30.09522961205092
CR00185,Nduba,2023-04-23,10:34,Theft,Female,Suspect,33,Stormy,2.15,-1.9175689710873518,30.071636936710853
CR00186,Rwezamenyo,2021-11-10,08:56,Robbery,Other,Suspect,79,Clear,5.5,-1.962207571765743,30.04017660652192
CR00187,Kimironko,2024-11-16,09:53,Theft,Other,Victim,19,Rainy,3.09,-1.9276579175814876,30.119004566020116
CR00188,Kimironko,2020-07-24,07:36,Theft,Male,Suspect,31,Rainy,2.99,-1.917216681301694,30.116209705814153
CR00189,Kanombe,2024-11-25,01:59,Theft,Female,Victim,78,Clear,3.47,-1.9662722472296212,30.140135411554564
CR00190,Kimironko,2024-09-26,04:12,Burglary,Other,Suspect,26,Cloudy,4.71,-1.9299534639081803,30.115765087184
CR00191,Kimisagara,2022-06-20,22:31,Theft,Male,Suspect,53,Rainy,3.83,-1.9772507651038473,30.039959424647463
CR00192,Rusororo,2020-07-23,04:52,Vandalism,Male,Suspect,74,Rainy,1.44,-1.9080771109213182,30.12791272173463
CR00193,Rusororo,2022-12-13,11:10,Assault,Male,Victim,36,Rainy,7.43,-1.8976166131461365,30.117972392245136
CR00194,Nyarugenge,2022-07-24,19:31,Robbery,Other,Victim,72,Rainy,6.88,-1.9591450300414508,30.04181084434862
CR00195,Kanombe,2020-02-01,17:53,Robbery,Other,Victim,29,Clear,6.56,-1.976425436393434,30.136959387647316
CR00196,Kimisagara,2024-01-19,11:53,Burglary,Other,Victim,76,Cloudy,4.59,-1.976862292764029,30.04953866101253
CR00197,Gacuriro,2020-10-22,05:13,Burglary,Male,Suspect,45,Clear,5.31,-1.92564962013859,30.08109274179521
CR00198,Jali,2022-04-19,14:42,Burglary,Other,Victim,46,Cloudy,5.05,-1.9035073489997263,30.085267400912308
CR00199,Nyamirambo,2024-11-18,04:34,Assault,Other,Victim,42,Clear,6.54,-1.982280346000848,30.056317762008334
CR00200,Muhima,2023-09-02,12:17,Vandalism,Other,Suspect,36,Clear,2.4,-1.9510844218862529,30.06265655504969
CR00201,Kigarama,2020-11-12,22:43,Robbery,Other,Victim,26,Clear,6.01,-1.977855110357418,30.09193513478831
CR00202,Kibagabaga,2020-06-02,12:15,Robbery,Female,Victim,28,Clear,5.11,-1.9322677529854673,30.1024251665153
CR00203,Kimisagara,2022-08-19,20:17,Burglary,Female,Suspect,70,Clear,5.8,-1.969226393879024,30.034072520530973
CR00204,Kibagabaga,2024-05-19,06:15,Burglary,Male,Suspect,18,Clear,5.41,-1.928027465645189,30.1031214991713
CR00205,Kicukiro,2021-06-26,23:05,Vandalism,Male,Victim,35,Clear,2.24,-1.9803190628089034,30.118291461717554
CR00206,Niboye,2021-11-24,11:24,Theft,Other,Victim,56,Clear,2.56,-1.998108548503212,30.11074902206637
CR00207,Nyarugenge,2023-06-30,04:10,Vandalism,Male,Suspect,64,Rainy,1.41,-1.9554642519139283,30.045878245176887
CR00208,Kigali CBD,2023-11-19,23:36,Burglary,Female,Victim,50,Cloudy,4.27,-1.9493415995398982,30.059402135636024
CR00209,Gatenga,2022-03-25,00:55,Robbery,Female,Victim,43,Clear,6.95,-1.9843779890697129,30.116644232023333
CR00210,Masaka,2023-08-23,05:04,Vandalism,Other,Victim,47,Clear,1.46,-1.9665060753307662,30.151988777819994
CR00211,Nyamirambo,2020-06-13,16:11,Theft,Other,Suspect,75,Rainy,3.48,-1.9755629444929912,30.050850721094925
CR00212,Masaka,2024-10-10,02:52,Assault,Female,Suspect,30,Cloudy,6.42,-1.958220160779768,30.132815456844256
CR00213,Kacyiru,2021-11-03,05:15,Assault,Other,Victim,32,Cloudy,6.74,-1.9371179859163201,30.062959744327518
CR00214,Nduba,2024-10-11,09:48,Robbery,Other,Suspect,77,Rainy,6.63,-1.9034885718072085,30.07335042655359
CR00215,Nduba,2023-10-13,05:47,Theft,Male,Victim,26,Clear,2.28,-1.9033016419511637,30.065475765917654
CR00216,Kimironko,2024-10-25,02:04,Vandalism,Female,Suspect,57,Clear,2.96,-1.9203462444513313,30.114889858547517
CR00217,Gikondo,2022-12-28,10:49,Burglary,Male,Suspect,43,Clear,5.4,-1.963528825049241,30.07866495929585
CR00218,Gisozi,2022-02-17,20:28,Burglary,Male,Suspect,23,Stormy,5.3,-1.9338316086172103,30.082665245893445
CR00219,Rwezamenyo,2021-10-10,22:27,Theft,Male,Suspect,58,Clear,2.91,-1.9704692771246153,30.026907034765948
CR00220,Kimisagara,2023-07-07,11:49,Vandalism,Male,Victim,63,Rainy,1.23,-1.976544093424337,30.036516653037125
